Ciclo, Fetch , Identification, Execution, Memory, WriteBack,
1,addi $t0 $zero 2,
2,add $t7 $t2 $t2,addi $t0 $zero 2,
3,addi $t1 $zero 2,add $t7 $t2 $t2,addi $t0 $zero 2,
4,beq $t0 $zero NEXT,addi $t1 $zero 2,add $t7 $t2 $t2,addi $t0 $zero 2,
5,mul $t2 $t2 $t2,beq $t0 $zero NEXT,addi $t1 $zero 2,add $t7 $t2 $t2,addi $t0 $zero 2,
6,add $t7 $t2 $t2,mul $t2 $t2 $t2,beq $t0 $zero NEXT,addi $t1 $zero 2,add $t7 $t2 $t2,
7,addi $sp $sp -8,add $t7 $t2 $t2,mul $t2 $t2 $t2,beq $t0 $zero NEXT,addi $t1 $zero 2,
8,sw $t7 0($sp),addi $sp $sp -8,add $t7 $t2 $t2,mul $t2 $t2 $t2,beq $t0 $zero NEXT,
9,lw $t6 0($sp),sw $t7 0($sp),addi $sp $sp -8,add $t7 $t2 $t2,mul $t2 $t2 $t2,
10,addi $t1 $t0 1,lw $t6 0($sp),sw $t7 0($sp),addi $sp $sp -8,add $t7 $t2 $t2,
11,NOP ,addi $t1 $t0 1,lw $t6 0($sp),sw $t7 0($sp),addi $sp $sp -8,
12,NOP ,NOP ,addi $t1 $t0 1,lw $t6 0($sp),sw $t7 0($sp),
13,NOP ,NOP ,NOP ,addi $t1 $t0 1,lw $t6 0($sp),
14,NOP ,NOP ,NOP ,NOP ,addi $t1 $t0 1,
